股票代號,公司簡稱,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,漲跌百分比,AH,NH,CDP,NL,AL,Notice
2330,台積電,661.0,6980.0,37495.0,658.0,662.0,655.0,660.0,0.15151515151515152,666.75,664.5,659.75,657.5,652.75,AH
8299,群聯,452.0,93.0,1819.0,453.0,459.5,450.5,452.5,-0.11049723756906077,462.5,456.5,453.5,447.5,444.5,NL
1101,台泥,47.95,692.0,13795.0,47.5,47.95,47.4,47.5,0.9473684210526376,48.36250000000001,48.225000000000016,47.81250000000001,47.67500000000001,47.2625,NL
3169,亞信,215.0,254.0,6709.0,211.0,218.0,203.5,213.0,0.9389671361502347,227.375,222.25,212.875,207.75,198.375,NL
3217,優群,118.5,103.0,1274.0,123.5,124.0,118.5,123.0,-3.658536585365853,125.375,121.25,119.875,115.75,114.375,NH
6187,萬潤,127.5,267.0,3868.0,134.0,135.5,127.0,134.0,-4.8507462686567155,137.875,131.75,129.375,123.25,120.875,NL
8924,大田,139.0,34.0,562.0,139.0,140.0,138.0,139.5,-0.35842293906810035,141.0,140.0,139.0,138.0,137.0,NL
3515,華擎,249.5,113.0,867.0,255.0,256.0,247.5,255.0,-2.156862745098039,259.125,253.75,250.625,245.25,242.125,NL
8016,矽創,280.5,153.0,4332.0,287.0,290.5,278.0,286.5,-2.094240837696335,294.875,286.75,282.375,274.25,269.875,NL
3707,漢磊,114.5,653.0,10400.0,117.0,117.5,113.0,116.5,-1.7167381974248928,119.375,116.75,114.875,112.25,110.375,NL
2481,強茂,90.6,618.0,15642.0,93.3,93.5,89.4,92.7,-2.2653721682847987,95.125,92.65,91.025,88.55000000000004,86.92500000000004,NL
3532,台勝科,264.5,100.0,1649.0,265.0,268.0,260.5,261.5,1.147227533460803,271.875,268.25,264.375,260.75,256.875,NL
3675,德微,258.0,78.0,700.0,265.5,265.5,257.5,262.0,-1.5267175572519085,267.75,262.0,259.75,254.0,251.75,NH
3680,家登,295.0,41.0,680.0,304.0,304.0,294.5,298.5,-1.1725293132328307,306.625,299.75,297.125,290.25,287.625,NL
3141,晶宏,198.5,542.0,16858.0,205.0,206.5,190.0,203.5,-2.457002457002457,214.875,206.75,198.375,190.25,181.875,X
6531,愛普*,422.0,464.0,2385.0,432.0,432.0,421.5,433.0,-2.5404157043879905,434.875,427.25,424.375,416.75,413.875,NL
6706,惠特,229.0,434.0,7453.0,242.5,246.0,228.5,242.5,-5.567010309278351,250.625,237.75,233.125,220.25,215.625,X
6196,帆宣,175.5,730.0,12491.0,180.0,183.0,172.5,178.5,-1.680672268907563,187.125,180.75,176.625,170.25,166.125,NL
4961,天鈺,223.0,492.0,9831.0,216.5,223.0,213.5,216.5,3.0023094688221708,230.125,227.75,220.625,218.25,211.125,NL
6138,茂達,221.0,323.0,3201.0,232.5,233.0,220.5,229.5,-3.7037037037037033,236.375,227.25,223.875,214.75,211.375,NH
3587,閎康,152.0,146.0,3363.0,156.0,159.0,151.5,152.0,0.0,161.125,155.75,153.625,148.25,146.125,NL
3583,辛耘,109.5,1440.0,27121.0,111.0,111.5,107.0,113.0,-3.0973451327433628,113.875,111.75,109.375,107.25,104.875,NL
3624,光頡,83.3,690.0,19334.0,82.1,83.6,78.1,81.5,2.2085889570552117,87.57499999999996,86.04999999999998,82.07499999999997,80.54999999999998,76.57499999999997,NH
3491,昇達科,190.0,205.0,6145.0,183.0,193.5,174.5,183.0,3.825136612021858,206.0,199.5,187.0,180.5,168.0,X
8155,博智,166.5,359.0,4802.0,171.0,173.0,161.0,169.5,-1.7699115044247788,178.75,172.5,166.75,160.5,154.75,X
8150,南茂,51.3,1520.0,53931.0,50.9,52.7,50.7,49.7,3.2193158953722216,53.5,52.3,51.5,50.3,49.5,NL
3035,智原,200.5,1786.0,28152.0,198.5,201.0,192.0,200.5,0.0,207.5,205.0,198.5,196.0,189.5,AH
3653,健策,386.5,31.0,648.0,382.0,387.5,377.5,379.5,1.8445322793148882,394.5,391.5,384.5,381.5,374.5,NL
6667,信紘科,87.0,593.0,10985.0,87.5,94.2,87.0,87.1,-0.11481056257175007,96.0,90.6,88.8,83.39999999999998,81.6,NH
6457,紘康,166.0,13.0,449.0,167.0,170.0,163.0,166.0,0.0,173.25,169.5,166.25,162.5,159.25,NL
3189,景碩,200.5,639.0,8190.0,201.0,202.5,197.5,201.0,-0.24875621890547264,205.25,203.0,200.25,198.0,195.25,NH
6477,安集,53.8,1272.0,18420.0,55.9,56.8,53.5,56.9,-5.4481546572934985,57.77499999999999,55.44999999999999,54.475,52.14999999999999,51.175,NH
6223,旺矽,119.5,313.0,8433.0,116.5,120.5,115.0,115.0,3.91304347826087,124.125,122.25,118.625,116.75,113.125,X
3455,由田,98.4,863.0,14981.0,105.0,105.0,97.0,106.5,-7.6056338028168975,107.7,102.4,99.7,94.4,91.7,X
2233,宇隆,105.5,48.0,823.0,105.0,109.5,105.0,105.5,0.0,110.875,107.75,106.375,103.25,101.875,NL
3059,華晶科,44.9,591.0,7266.0,45.1,45.35,44.15,44.6,0.6726457399103075,46.02500000000001,45.50000000000001,44.825,44.3,43.625,NL
