,ma30,1/7,1/6,1/5,1/4
405.5,33,,,,
406.0,367,,,,
406.5,303,,,,
407.0,266,,,,
407.5,135,,,,
408.0,360,,,,
408.5,362,,,,
409.0,447,,,,
409.5,449,,,,
410.0,468,,,,
410.5,334,,,,
411.0,402,,,,
411.5,322,,,,
412.0,13028,,,,
412.5,558,,,,
413.0,343,,,,
413.5,372,,,,
414.0,495,,,,
414.5,224,,,,
415.0,158,,,,
415.5,137,,,,
416.0,290,,,,
416.5,393,,,,
417.0,545,,,,
417.5,647,,,,
418.0,533,,,,
418.5,377,,,,
419.0,355,,,,
419.5,297,,,,
420.0,213,,,,
420.5,289,,,,
421.0,193,,,,
421.5,163,,,,
422.0,247,,,,
422.5,245,,,,
423.0,321,,,,
423.5,267,,,,
424.0,403,,,,
424.5,235,,,,
425.0,758,,,,
425.5,490,,,,
426.0,570,,,,
426.5,281,,,,
427.0,466,,,,
427.5,180,,,,
428.0,595,,,,
428.5,209,,,,
429.0,208,,,,
429.5,50,,,,
430.0,209,,,,
430.5,100,,,,
431.0,183,,,,
431.5,192,,,,
432.0,127,,,,
432.5,58,,,,
433.0,80,,,,
433.5,81,,,,
434.0,84,,,,
434.5,101,,,,
435.0,336,,,,
435.5,135,,,,
436.0,75,,,,
436.5,21,,,,
437.0,68,,,,
437.5,63,,,,
438.0,106,,,,
438.5,64,,,,
439.0,157,,,,
439.5,122,,,,
440.0,272,,,,
440.5,59,,,,
441.0,43,,,,
441.5,13,,,,
442.0,72,,,,
442.5,62,,,,
443.0,29,,,,
443.5,65,,,,
444.0,41,,,,
444.5,21,,,,
445.0,99,,,,
445.5,83,,,,
446.0,111,,,,
446.5,73,,,,
447.0,103,,,,
447.5,68,,,,
448.0,81,,,,
448.5,23,,,,
449.0,19,,,,
449.5,27,,,,
450.0,94,,,,
450.5,13,,,,
451.0,110,,,,
451.5,108,,,,
452.0,243,,,,
452.5,174,,,,
453.0,263,40,,,
453.5,249,20,,,
454.0,377,97,,,
454.5,204,21,,,
455.0,530,126,,,
455.5,561,475,,,
456.0,413,260,,,
456.5,360,273,,,
457.0,493,282,,,
457.5,393,268,,,
458.0,891,415,,,
458.5,8738,290,,,
459.0,625,292,,,
459.5,569,326,,,
460.0,879,494,,,
460.5,458,102,,,
461.0,660,90,,,
461.5,937,68,,,
462.0,1521,120,,,
462.5,616,46,,,
463.0,674,25,,,
463.5,497,8,,,
464.0,1093,14,,,
464.5,905,1,,,
465.0,1515,37,,,
465.5,938,6,,,
466.0,1734,18,2.0,,
466.5,866,5,43.0,,
467.0,1516,48,481.0,,
467.5,1310,34,344.0,,
468.0,2148,56,406.0,,
468.5,1707,29,619.0,,
469.0,1648,48,571.0,,
469.5,918,16,322.0,,
470.0,1449,36,354.0,,
470.5,722,61,103.0,,
471.0,1312,15,102.0,,
471.5,653,1,79.0,,
472.0,1240,118,49.0,,
472.5,1136,69,33.0,,
473.0,1342,74,77.0,,
473.5,1245,40,165.0,,
474.0,1414,58,24.0,38.0,
474.5,1493,34,13.0,91.0,
475.0,2980,,22.0,290.0,
475.5,1519,,17.0,271.0,
476.0,2463,,74.0,836.0,
476.5,1746,,42.0,302.0,
477.0,2009,,84.0,161.0,
477.5,1776,,96.0,161.0,
478.0,2900,,162.0,268.0,
478.5,1896,,109.0,214.0,
479.0,1880,,54.0,282.0,5.0
479.5,1455,,73.0,334.0,16.0
480.0,3300,,87.0,755.0,206.0
480.5,1586,,10.0,249.0,65.0
481.0,1752,,,109.0,82.0
481.5,1059,,,48.0,54.0
482.0,1570,,,21.0,131.0
482.5,1037,,,19.0,112.0
483.0,1725,,,36.0,221.0
483.5,1410,,,29.0,327.0
484.0,2197,,,97.0,675.0
484.5,1638,,,69.0,479.0
485.0,2257,,,103.0,317.0
485.5,1325,,,86.0,253.0
486.0,1894,,,90.0,543.0
486.5,1354,,,100.0,374.0
487.0,1874,,,45.0,403.0
487.5,1531,,,30.0,409.0
488.0,1864,,,68.0,465.0
488.5,2104,,,137.0,793.0
489.0,1552,,,72.0,55.0
489.5,1432,,,49.0,20.0
490.0,1916,,,22.0,34.0
490.5,934,,,,15.0
491.0,1155,,,,17.0
491.5,1178,,,,24.0
492.0,2132,,,,29.0
492.5,1490,,,,12.0
493.0,2542,,,,28.0
493.5,1588,,,,39.0
494.0,1469,,,,40.0
494.5,1231,,,,37.0
495.0,2074,,,,69.0
495.5,1453,,,,59.0
496.0,1401,,,,108.0
496.5,960,,,,153.0
497.0,1058,,,,48.0
497.5,841,,,,12.0
498.0,1053,,,,3.0
498.5,634,,,,
499.0,1192,,,,
499.5,864,,,,
500.0,1430,,,,
501.0,1368,,,,
502.0,1433,,,,
503.0,1795,,,,
504.0,1315,,,,
505.0,983,,,,
506.0,706,,,,
507.0,504,,,,
508.0,400,,,,
509.0,229,,,,
510.0,386,,,,
511.0,163,,,,
512.0,836,,,,
513.0,360,,,,
514.0,789,,,,
515.0,451,,,,
516.0,791,,,,
517.0,826,,,,
518.0,1015,,,,
519.0,565,,,,
520.0,1035,,,,
521.0,239,,,,
522.0,241,,,,
523.0,399,,,,
524.0,133,,,,
